NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;No. Induk
1870;PRAKTEK JUAL BELI TANAH;EFFENDI PERANGIN, S.H.;PT. Rajagrafindo Persada;Jakarta;1994;979-421-099-4;;1.,;3.-;xii, 150;3E;;21;346.043 63;PER;S;;ADA;;
1871;PRAKTEK PENGGUNAAN TANAH SEBAGAI JAMINAN KREDIT;EFFENDI PERANGIN, S.H.;CV. RAJAWALI PERS;Jakarta;1991;979-421-100-1;;1.,;2.-;xviii, 166;3E;;21;346.043 64;PER;;;ADA;;
1872;PRAKTEK PERMOHONAN HAK ATAS TANAH;EFFENDI PERANGIN, S.H.;CV. RAJAWALI PERS;Jakarta;1991;979-421-101-x;;1.,;2.-;xiv, 184;3E;;21;346.043 2;PER;;;ADA;;
1873;PRAKTEK-PRAKTEK PERADILAN TATA USAHA NEGARA;O.C. KALIGIS & ASSOCIATES;PT. ALUMNI;Bandung;2000;979-414-124-0;3;;1,-;xii, 520;3A;;20,5;342;KAL;;;ADA;;
1874;PRAKTIK HUKUM ACARA PERDATA // CONTOH BENTUK-BENTUK SURAT DI BIDANG KEPENGACARAAN PERDATA;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-065-3;;2.,;5.-;xxviii, 366;3B;;21;347;SOE;S;;ADA;;
1875;PRAKTIK HUKUM ACARA PERDATA : TATA CARA DAN PROSES PERSIDANGAN;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2009;978-979-007-311-1;;2.,;1,-;xx, 292;3B;;23;345;SOE;;;ADA;;
1876;PRAKTIK HUKUM ACARA PERDATA : TATA CARA DAN PROSES PERSIDANGAN;R. SOEROSO, S.H.;Sinar Grafika;Jakarta;2011;978-979-007-311-1;;2.,;2.-;xx, 292;3B;;23;345;SOE;;; ;;
1877;PRAKTIK PERADILAN PERDATA DAN ALTERNATIF PENYELESAIAN SENGKETA;SOPHAR MARU HUTAGALUNG, S.H., M.H.;Sinar Grafika;Jakarta;2012;978-979-007-457-6;;;1.-;xvi, 476;3C;;23;346;HUT;S;;ADA;;
1878;PRAKTIK PERADILAN PERDATA : TEKNIS MENANGANI PERKARA DI PENGADILAN;SOPHAR MARU HUTAGALUNG, S.H., M.H.;Sinar Grafika;Jakarta;2011;978-979-007-359-3;;1.,;2.-;xii, 258;3C;;23;347.07;HUT;S;;ADA;;
1879;PRAKTIK TEBANG PILIH PERKARA KORUPSI;Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2008;979-41-4052-X;1;;1.-;viii, 366;2B;1;20,5;345;KAL;S;,;ADA;;
1880;PRAKTIK TEBANG PILIH PERKARA KORUPSI;Dr. O.C. KALIGIS, S.H., M.H.;PT. ALUMNI;Bandung;2008;979-41-4053-8;2;1.,;1.-;viii, 776;2B;2;20;345;KAL;S;;ADA;;
1881;PRAPERADILAN DAN PENGGABUNGAN PERKARA GUGATAN GANTI KERUGIAN DALAM KUHAP;R. SOEPARMONO, S.H.;CV. MANDAR MAJU;Bandung;2003;979-538-242-X;;;1,-;ix, 258;3B;;21;347;SOE;;;ADA;;
1882;PRINSIP-PRINSIP MANAJEMEN;GEORGE R. TERRY;BUMI AKSARA;Jakarta;2003;;;;;;7F;;;;;;;;;
1883;PRINSIP-PRINSIP UNIDROIT//SEBAGAI SUMBER HUKUM KONTRAK DAN PENYELESAIAN SENGKETA BISNIS INTERNASIONAL;TARYANA SOENANDAR, S.H., M.H.;Sinar Grafika;Jakarta;2004;979-3421-77-0;;;1.-;viii, 166;3F;;23;346.2;SOE;;;ADA;;
1884;Problematika Kejaksaan Dalam Melakukan Eksekusi Terhadap Terpidana Yang Berada Diluar Tahanan;Hastuti Sri, S.H.;Puslitbang Kejagung R.I.;Jakarta;2014;978-602-7744-68-4;;;;vi + 187;6B;;21;345;HAS;S;;;;
1885;PROGRAM REDISTRIBUSI TANAH DI INDONESIA//SUATU SARANA KE ARAH PEMECAHAN MASALAH PENGUASAAN TANAH DAN PEMILIKAN TANAH ;ARIE SUKANTI HUTAGALUNG, S.H., MLI.;CV. RAJAWALI PERS;Jakarta;1985;;;;1.-;xii, 107;3E;;20,5;346.43;HUT;;;ADA;;
1886;PROSEDUR DAN TATA CARA MEMPEROLEH HAK KEKAYAAN INTELEKTUAL DI BIDANG HAK CIPTA PATEN DAN MEREK;SENTOSA SEMBIRING, S.H., M.H.;CV. YRAMA WIDYA;Bandung;2002;;;;;;7B;;;;;;;;;
1887;PROSEDUR PENDAFTARAN TANAH//TENTANG HAK MILIK, HAK SEWA GUNA DAN HAK GUNA BANGUNAN;"SOEJONO, S.H., M.H. ; H. ABDURRAHMAN, S.H., M.H.";PT. Rineka Cipta;Jakarta;2003;979-518-630-2;;;2,-;viii, 123;3E;;20,5;346.43;SOE;;;ADA;;
1888;PROSES PENANGANAN PERKARA PIDANA;DR.LEDEN MARPAUNG,SH;Sinar Grafika;Jakarta;2011;978-979-007-290-9;;2.,;2.-;418;2D;2;21;345.07;MAR;;;ADA;;
1889;PROSES PERADILAN SOEHARTO;DJOKOMOELYO, S.H., APU.;PT. RAGA MUKTI MAKMUR;Jakarta;2001;;;;;;7C;3;;;;;;;;
1890;PROSPEK HUKUM PIDANA INDONESIA DALAM MEWUJUDKAN RASA KEADILAN MASYARAKAT 1;Dr. H.R. ABDUSSALAM, SIK, S.H., M.H.;RESTU AGUNG;Jakarta;2006;979-8492-21-8;;;;ix, 833;2C;;21;345;ABD;B;;ADA;;
1891;PROSPEK OTONOMI DAERAH DI NEGARA REPUBLIK INDONESIA;Drs. JOSEF RIWU KAHO, MPA.;PT. Rajagrafindo Persada;Jakarta;2003;;;;;;10B;;;;;;;;;
1892;Pudarnya Pesona Cleopatra;Habiburrahman El Shirazy;Penerbit Republika;Jakarta;2007;979-3604-00-x;;;9.-;;10C;1;;820;SHI;;;;;
1893;PUDING GELAS;BARA PATTIRADJAWANE;PT. PRIMAMEDIA PUSTAKA;Jakarta;2005;;;;;;10D;;;;;;;;;
1894;PUTUSAN HAKIM DALAM HUKUM ACARA PERDATA INDONESIA // TEORI, PRAKTIK, TEKNIK MEMBUAT DAN PERMASALAHANNYA;Dr. LILIK MULYADI, S.H., M.H.;PT. Citra Aditya Bakti;Bandung;2009;978-979-414-974-4;;;1.-;xxvi, 616;3B;3;21;347.07;MUL;S;;ADA;;
1895;PUTUSAN HAKIM DALAM HUKUM ACARA PIDANA // TEORI, PRAKTIK, TEKNIK PENYUSUNAN DAN PERMASALAHANNYA;Dr. LILIK MULYADI, S.H., M.H.;PT. Citra Aditya Bakti;Bandung;2007;979-414-954-3;;;1.-;xv, 426;2F;;20,5;345;MUL;;;ada;;
1896;PUTUSAN MAHKAMAH KONSTITUSI;dihimpun oleh : EFI LAILA KHOLIS, S.H., M.H.;PENA MULTI MEDIA;Depok;2008;;;;;;4D;;;;;;;ada;;
1897;Putusan Majelis Permusyawaratan Rakyat Republik Indonesia | Sidang Tahunan MPR-R.I. 7-18 Agustus 2000;--;Sekretariat Jenderal MPR RI;Jakarta;2000;;;;;;5F;;;;;;;ada;;
1898;HURUF R;;;;;;;;;;;;;;;;;ada;;
1899;RAGAM DESAIN PAGAR TANAMAN;"BAYU ISMAYA ; DESI SARASWATI";PENEBAR SWADAYA;Jakarta;2006;;;;;;10A;;;;;;;ada;;
1900;RAHASIA ENERGI IBADAH UNTUK PENYEMBUHAN // PENYEMBUHAN ISLAMI DENGAN METODE RELIGIOPSIKONEUROIMUNOLOGI;MUSTAMIR, S.Ked.;PENERBIT LINGKARAN;Yogyakarta;2007;;;;;;10C;;;;;;;ada;;
1901;RAHASIA ILMU TASHAWWUF;UST. LABIB Mz.;BINTANG USAHA JAYA;Surabaya;2001;;;;1.-;286;1E;;20,5;297.5.53;LAB;;;ada;;
1902;RALAT ATAS KESALAHAN CETAK DALAM BUKU DOKUMENTASI PEMILIHAN UMUM 1997;--;LEMBAGA PEMILIHAN UMUM;Jakarta;1997;;;;;;5E;;;;;;;ada;;
1903;RAMALAN PRABU JAYABAYA // MENGUNGKAP TANDA-TANDA ZAMAN;Dr. SINDUNG MARWOTO, M.A.;PANJI PUSTAKA;Yogyakarta;2007;;;;;;10C;;;;;;;;;
1904;RAMBUTAN // KOMODITAS UNGGULAN DAN PROSPEK BISNIS;"H. RAHMAT RUKMANA ; Hj. YUYUN YUNIARSIH OESMAN, S.P., M.B.A., M.M.";PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;
1905;RAMBUT ANDA // MASALAH, PERAWATAN, DAN PENATAANNYA;KUSUMADEWI;PT. Gramedia Pustaka Utama;Jakarta;2003;;;;;;10A;;;;;;;;;
1906;RAMUAN TRADISIONAL UNTUK KESEHATAN ANAK;Drs. BAMBANG MURSITO, Apt., M.Si.;PENEBAR SWADAYA;Jakarta;2004;;;;;;10D;;;;;;;;;
1907;RAMUAN TRADISIONAL UNTUK KESEHATAN PENYAKIT MALARIA // SERI AGRISEHAT;Drs. BAMBANG MURSITO, Apt., M.Si.;PENEBAR SWADAYA;Jakarta;2002;;;;;;10D;;;;;;;;;
1908;REFERENDUM;Drs. C.S.T. KANSIL, S.H.;ERLANGGA;Jakarta;1986;;;;;;4D;;;;;;;ada;;
1909;REFLEKSI KETERPADUAN PENYIDIKAN, PENUNTUTAN DAN PERADILAN DALAM PENANGANAN PERKARA;Drs. R. ABDUSSALAM, S.H., M.H. - ZEN ZANIBAR MZ, S.H., M.H.;DINAS HUKUM POLRI;Jakarta;1998;979-8890-05-1;;;1.-;xxi, 968;2E;;21,5;345;ABD;;;ada;;
1910;REFLEKSI SOSIOLOGI HUKUM;Dr. Saifullah, S.H., M.Hum.;PT. Refika Aditama;Bandung;2010;;;;;;6C;;;301.16;SAI;;;ada;;
1911;Reformasi Kejaksaan Dalam Sistem Hukum Nasional;Dr. Jan S. Maringka;Sinar Grafika;Jakarta;2018;978-979-007-728-7;;1.,;2.-;;6B;;;347.014;MAR;s;;ada;;
1912;Regulasi Bagi Perkembangan Perekonomian Daerah Dalam Kerangka Kebijakan Fiskal Nasional;Agustin Teras Narang, S.H.;The ATN Centre;Jakarta;2004;;;;;;7E;;;351;TER;;;ada;;
1913;REKONSEPTUALISASI HUKUM ADAT KONTEMPORER;Prof. Dr. H.R. Otje Salman Soemadiningrat, S.H.;Alumni;Bandung;2002;979-414-346-4;;1.,;1,-;xiv, 228;3A;3;20,5;347;SOE;B;;ada;;
1914;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1987/1988;--;Kejaksaan R.I.;Jakarta;1987;;;;;;6F;2;;;;;;ada;;
1915;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1988/1989;--;Kejaksaan R.I.;Jakarta;1988;;;;;;6F;;;;;;;ada;;
1916;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1989/1990;--;Kejaksaan R.I.;Jakarta;1989;;;;;;6F;4;;;;;;ada;;
1917;Rencana Kerja Dan Program Kerja Kejaksaan R.I. Tahun 1991/1992;--;Kejaksaan R.I.;Jakarta;1991;;;;;;6F;;;;KEJ;S;;ada;;
1918;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;1;;;;5G;;;;;;;ada;;
1919;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;2;;;;5G;;;;;;;ada;;
1920;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;3;;;;5G;;;;;;;;;
1921;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;4;;;;5G;;;;;;;ada;;
1922;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;5;;;;5G;;;;;;;ada;;
1923;RENCANA PEMBANGUNAN LIMA TAHUN KEENAM DAERAH PROPINSI DAERAH TINGKAT I KALIMANTAN TENGAH TAHUN 1994/1995 - 1998/1999;--;Pemerintah Prop. Dati I Kalteng;Palangka Raya;1994;;6;;;;5G;;;;;;;ada;;
1924;RENCANA PEMBANGUNAN LIMA TAHUN KELIMA KEJAKSAAN R.I. (1989/1990 ~ 1993/1994);--;Kejaksaan Agung R.I.;Jakarta;1989;;;;;;5B;5;;;;;;ada;;
1925;RENCANA PEMBANGUNAN LIMA TAHUN KE ENAM KEJAKSAAN R.I. (1994/1995 ~ 1998/1999);--;Kejaksaan Agung R.I.;Jakarta;1994;;;;;;5B;2;;;;;;ada;;
1926;Resume Putusan Pengadilan Pajak PPH;Sularno;Indeks;Jakarta;2010;;;;;;5F;;;336.2;SUL;S;;ada;;
1927;Resume Putusan Pengadilan Pajak PPN;Sularno;Indeks;Jakarta;2010;;;;;;5F;;;336;SUL;S;;ada;;
1928;RIAS PENGANTIN;"Chenny Han; Isye Soentoro";PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;10C;2;;376;HAN;;;ada;;
1929;RIB / HIR DENGAN PENJELASAN;R. Soesilo;Politea;Bogor;1995;;;;;;3D;;;347,7;SOE;;;ada;;
1930;Ringkasan Ihya Ulumiddin;Imam Al Ghazali;Gitamedia Press;Surabaya;2003;;;;1;;1E;;;;;;;ada;;
1931;Risalah Sidang Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia (BPUPKI) // Panitia Persiapan Kemerdekaan Indonesia (PPKI) 28 Mei 1945 - 22 Agustus 1945;--;Sekretariat Negara R.I.;Jakarta;1998;;;;;;10B;;;;;;;ada;;
1932;Risiko Bisnis Pengelolaan BUMN & Tindak Pidana Korupsi;Dr. Setyo Utomo, S.H., M.Hum., M.Kn.;PT. Sofmedia;Jakarta;2014;978-602-860-445-1;;;;;6B;;;793;UTO;s;;ada;;
1933;Risk-Based Audit (Dalam Pemeriksaan Perkreditan Bank Umum);Z. Dunil;PT. Indeks Kelompok Gramedia;Jakarta;2005;979-683-753-6;;;;338;1B;;25;332;DUN;;;ada;;
1934;Road Map Reformasi Birokrasi Kejaksaan RI Tahun 2015-2019;--;Kejaksaan RI;Jakarta;2016;;;;;;6B;1;21;650.04;AGU;s;;ada;;
1935;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2006;979-3421-10-X;;2.,;2,-;xvii, 478;3A;;23;347;HAR;s;;ada;;
1936;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2009;979-3421-10-X;;2.,;4.-;xxxix, 478;3A;;23;347.07;HAR;b;181.450;ada;;
1937;Ruang Lingkup Permasalahan Eksekusi Bidang Perdata;M. Yahya Harahap, S.H.;Sinar Grafika;Jakarta;2010;979-3421-10-X;;2.,;5,-;xxxix, 478;3A;2;23;347.07;HAR;s;;ada;;
1938;Rujukan Peraturan Perundang-undangan Dalam Putusan-putusan Mahkamah Konstitusi // Disusun Dari Himpunan Putusan Mahkamah Konstitusi Jilid 1A & 1B;Tim Redaksi Tata Nusa;PT. Tatanusa;Jakarta;2005;;;;;;5D;;;;;;;;;
1939;Rukun Iman;penyusun : Drs. Rustana Ardiwinata, Drs. H. Hafidh Dasuki, MA., Drs. Harun Al Rasyid, Drs. H.M. Atho Mudzhar, MA.;DEPAG R.I.;Jakarta;1984;;;;;;7A;;;;;;;;;
1940;Rukun Islam;penyusun : Drs. Rustana Ardiwinata, Drs. H. Hafidh Dasuki, MA, Drs. H. Sugandhi, Drs. Muh. Amin.;DEPAG R.I.;Jakarta;1984;;;;;;7A;2;;;;;;;;
1941;Rumah Bergaya Arsitektur Mediterania Dan Cenderung Klasik;Mohamad Probo Hindarto, S.T.;Media Pressindo;Yogyakarta;2006;;;;;;10A;;;;;;;;;
1942;Rumah Menawan 2 // Design & Bentuk Rumah Dua Lantai Diatas Lahan Sempit;Agung Kristiawan;Penerbit Kanisius;Yogyakarta;2005;;;;;;10A;;;;;;;;;
1943;Runtuhnya Kerajaan Hindu - Jawa Dan Timbulnya Negara-negara Islam Di Nusantara;Prof. Dr. Slamet Muljana;LKIS Yogyakarta;Yogyakarta;2005;;;;;;10B;;;;;;;;;
1944;Runtuhnya Sekat Perdata Dan Pidana (Studi Peradilan Kasus Kekerasan Terhadap Perempuan);Sulistyowati Irianto & Antonius Cahyadi;Yayasan Obor Indonesia;Jakarta;2008;978-979-461-678-9;;1.,;;382;2A;;24;340.2;IRI;S;;ADA;;
1945;HURUF S;;;;;;;;;;;;;;;;;ada;;
1946;125 TANYA-JAWAB ATURAN WAJIB BERLALU LINTAS // BUKU PINTAR PENGENDARA MOTOR DAN MOBIL (MENGACU PADA PERATURAN LALU LINTAS TERBARU UU NO. 22 THN 2009);Adib Bahari, S.H.;Pustaka Yustisia;Yogyakarta;2010;;;;;;4F;;;;;;;ada;;
1947;160 CONTOH SURAT PERJANJIAN (KONTRAK);"F. Ibrahim AE. ; Nathaniela STG.";Generasi Cerdas;Jakarta;2009;978-979-19845-7-7;;;1.-;268;3F;;23;340;NAT;;;ada;;
1948;SALAH PILIH;Nur ST. Iskandar;Balai Pustaka;Jakarta;1992;;;;;;10C;1;;820;ISK;;;ada;;
1949;SALAH PILIH;Nur ST. Iskandar;Balai Pustaka;Jakarta;2006;;;;;;10C;2;;820;ISK;;;ada;;
1950;Sanksi Pajak Berbasis Penerimaan Negara;Dr. Asep N. Mulyana, S.H., M.Hum.;Aneka Ilmu;Semarang;2014;978-979-070-491-6;;;;;5F;;;336;MUL;S;;ada;;
1951;SANKSI PEMIDANAAN DALAM KONFLIK PERTANAHAN//KEBIJAKAN ALTERNATIF PENYELESAIAN KONFLIK PERTANAHAN DI LUAR KODIFIKASI HUKUM PIDANA;Prof. Dr. H. Hambali Thalib, S.H., M.H.;Kencana;Jakarta;2009;978-979-1486-83-5;;1.,;2.-;x, 304;3E;;23;346.043 2;THA;;;ada;;
1952;SANKSI PERDATA & ADMINISTRATIF TERHADAP NOTARIS SEBAGAI PEJABAT PUBLIK;Dr. Habib Adjie, S.H., M.Hum.;PT. Refika Aditama;Bandung;2009;978-979-1073-15-5;;;2.-;xix, 204;3D;;24;347;ADJ;S;;ada;;
1953;SANUL DACA // PENGALAMAN PRIBADI LETJEN (PUR) SOEGIH ARTO;Soegih Arto;PT. Merdeka Sarana Usaha;Jakarta;1989;;;;;;7C;;;;;;;ada;;
1954;SATU DASAWARSA BARITO UTARA BERSAMA Drs. A. Dj. NIHIN // KUMPULAN PESAN DAN KESAN PEMBANGUNAN 1989-1998;--;PT. Grafika Wangi Kalimantan;Muara Teweh;1998;;;;;;5D;2;;;;;;ada;;
1955;Sayuran // Seri Budi Daya;AAK;Penerbit Kanisius;Yogyakarta;2005;;;;;;10E;;;;;;;ada;;
1956;Segi Hukum Penyelesaian Perselisihan Perburuhan;"Hartono Widodo, S.H.; Judiantoro, S.H.";Rajawali Pers;Jakarta;1992;979-421-201-6;;1.,;2.-;x, 302;3C;;21;344.18;WID;S;;ada;;
1957;Sehat dan Kuat;"dr. Aileen Ludington; dr. Hans Diehl, Dr.H.Sc., M.P.H., C.S.N.";Indonesia Publishing House;Bandung;2011;;;;;;10E;1;;641.1;LUD;;;;;
1958;Sejarah Catur Indonesia;Ds. F.K.N. Harahap;Penerbit Angkasa;Bandung;1986;;;;;;10B;;;344.04;LUD;s;;ada;;
1959;Sejarah Kehutanan Indonesia;disusun oleh : Tim Penyusun Sejarah Kehutanan Indonesia Departemen Kehutanan R.I.;Departemen Kehutanan R.I.;Jakarta;1986;;1;;;;7B;2;;;;;;;;
1960;Sejarah Kehutanan Indonesia;disusun oleh : Tim Penyusun Sejarah Kehutanan Indonesia Departemen Kehutanan R.I.;Departemen Kehutanan R.I.;Jakarta;1986;;2 - 3;;;;7B;2;;;;;;;;
1961;SEJARAH PEMBENTUKAN DAN PERKEMBANGAN HUKUM ISLAM;SYEKH MUHAMMAD ALI AS-SAYIS;AKADEMIKA PRESSINDO;Jakarta;1996;;;;;;7A;;;;;;;;;
1962;SEJARAH PEMBENTUKAN UNDANG-UNDANG NO.2 TAHUN 1976 TTG PENGESAHAN KONVENSI TOKYO 1963, KONVENSI THE HAGUE 1970, DAN KONVENSI MONTREAL 1971;DIRJEN HUKUM DAN PER-UNDANG2-AN;DEPARTEMEN KEHAKIMAN;Jakarta;1975;;;;;75;1B;2;24;959;UND;;;ada;;
1963;SEJARAH PEMERINTAHAN DAERAH DI INDONESIA;IRAWAN SOEJITO;PT. PRADNYA PARAMITA;Jakarta;1984;;1;;;;5D;;;;;;;;;
1964;SEJARAH PEMERINTAHAN DAERAH DI INDONESIA;IRAWAN SOEJITO;PT. PRADNYA PARAMITA;Jakarta;1984;;2;;;;5D;;;;;;;;;
1965;Sekilas Pelaksanaan Tugas Bagian Kerja Sama Luar Negeri Pada Biro Hukum dan Hubungan Luar Negeri;-;Kejaksaan Agung RI;Jakarta;2015;;;;;;6B;;;340;AGU;s;;ada;;
1966;SEKRETARIS DAN TATAWARKAT;Drs. SUTARTO;GADJAH MADA UNIVERSITY PRESS;Yogyakarta;1983;;;;;;6C;;;359;SUT;;;;;
1967;SELUK-BELUK DAN ASAS-ASAS HUKUM PERDATA;H. RIDUAN SYAHRANI, S.H.;PT. ALUMNI;Bandung;2010;979-414-159-3;;4.,;1,-;XVI, 332;3A;;20,5;346.001;SYA;S;;ADA;;
1968;SELUK BELUK TINDAK PIDANA PENCUCIAN UANG DAN PEMBIAYAAN TERORISME;Prof. Dr. SUTAN REMY SJAHDEINI, S.H.;PT. PUSTAKA UTAMA GRAFITI;Jakarta;2004;979-444-432-4;;;1,-;xxii, 484;2E;;21;345.026.8;SJA;S;;ADA;;
1969;SEMINAR HUKUM (SUMBANGAN PENDIDIKAN HUKUM DALAM PENINGKATAN PELAKSANAAN TUGAS PENEGAKAN HUKUM TANGGAL 25 s/d 27 SEPTEMBER 1978 DI YOGYAKARTA);SEKSI HUKUM PIDANA DAN KRIMINOLOGI;FAKULTAS HUKUM UNIVERSITAS GADJAH MADA;Yogyakarta;1978;;;;;508;1B;4;23,5;808;KRI;;;ada;;
1970;SENDI-SENDI ILMU HUKUM DAM TATA HUKUM;"Prof. Dr. SOERJONO SOEKANTO, S.H., M.A. ; Prof. PURNADI PURBACARAKA, S.H.";PT. Citra Aditya Bakti;Bandung;1993;;;;;;6A;2;;340;;;;ada;;
1971;SENI MERANGKAI BUAH DAN SAYUR;"SLAMET HENDRO KUSUMO ; Ny. IRAWATI DS.";PT. REMAJA ROSDAKARYA;Bandung;1992;;;;;;10E;;;745;HEN;;;ada;;
1972;Serba-serbi Kasus Menarik;O.C. Kaligis & Associates;PT. Alumni;Bandung;2010;;;;;;5B;;;340.02;KAL;;;ada;;
1973;SERBA SERBI LPHN/BPHN;J.C.T. SIMORANGKIR, S.H.;BINACIPTA;Jakarta;1980;;;;1.-;346;1B;;21;340;SIM;S;;ada;;
1974;SERBA SERBI PENGAWASAN // PERKOPERASIAN KEPEGAWAIAN KEUANGAN PERLENGKAPAN;ITJEN DEPARTEMEN  KOPERASI;CV. RIKO JAYA;Jakarta;1990;;;;;;6C;;;;;;;ada;;
1975;SERI ASPEK HUKUM DALAM BISNIS//PEMILIKAN, PENGURUSAN, PERWAKILAN & PEMBERIAN KUASA (DALAM SUDUT PANDANG KUH PERDATA);GUNAWAN WIDJAJA;Kencana;Jakarta;2004;979-3465-54-9;;1.,;1.-;xii, 194;3F;2;21;346.065;WID;S;;ada;;
1976;SERI ASPEK HUKUM DALAM BISNIS//PERSEKUTUAN PERDATA, PERSEKUTUAN FIRMA DAN PERSEKUTUAN KOMANDITER;GUNAWAN WIDJAJA;Kencana;Jakarta;2004;979-3465-56-5;;1.,;1.-;xii, 252;3F;;21;346.07;WID;;;ada;;
1977;SERI HUKUM BISNIS : DALUWARSA;GUNAWAN WIDJAJA;PT. Rajagrafindo Persada;Jakarta;2005;979-3654-48-1;;1.,;1.-;x, 220;3D;;21;346.07;WID;B;120.000;ada;;
1978;SERI HUKUM BISNIS : MEMAHAMI PRINSIP KETERBUKAAN (AANVULLEND RECHT) DALAM HUKUM PERDATA;GUNAWAN WIDJAJA;PT. Rajagrafindo Persada;Jakarta;2006;979-769-035-0;;1.,;1.-;x, 406;3D;;21;346.065;WID;B;;ada;;
1979;SERI HUKUM BISNIS : PERSEROAN TERBATAS;"GUNAWAN WIDJAJA; AHMAD YANI";PT. Rajagrafindo Persada;Jakarta;2006;979-421-744-1;;1.,;4.-;x, 258;3E;;21;346.06;WID;;;ada;;
1980;SERI HUKUM HARTA KEKAYAAN // KEBENDAAN PADA UMUMNYA;"KARTINI MULJADI; GUNAWAN WIDJAJA";Kencana;Jakarta;2003;;;;;;6C;;;297.43;MUL;;;ada;;
1981;Setia Mengabdi Untuk Negeri // Mengenal Lebih Dekat Korps Adhyaksa Di Jawa Timur;"E.S. Maruli Hutagalung, S.H., M.H. ; Bambang Riyadi Lany, S.H. ; Dr. D. Rochman, S.H., M.Hum.";Yuma Pustaka;Surakarta;2018;978-602-6631-71-8;;;2.-;;6B;;;164;HUT;S;;ada;;
1982;SIMPOSIUM PENERAPAN SANKSI TATA TERTIB DALAM TINDAK PIDANA EKONOMI;PUSLITBANG KEJAGUNG R.I.;KEJAGUNG R.I.;Jakarta;1989;;;;;154;1B;;21;345;IND;S;;ada;;
1983;SIMPOSIUM PERADILAN TATA USAHA NEGARA;BADAN PEMBINAAN HUKUM NASIONAL;BINACIPTA;Jakarta;1977;;;;1.-;320;3D;;21;342;BPH;S;;ada;;
1984;Sisi-sisi Lain Dari Hukum Di Indonesia;Prof. Dr. Satjipto Rahardjo, S.H.;Penerbit Buku Kompas;Jakarta;2009;;;;;;5B;;;340.02;RAH;S;;ada;;
1985;SISTEM BIAYA STANDAR;DEREK MURPHY;YAYASAN KANISIUS;Bandung;1976;;;;;119;1B;;21;658.032;MUR;;;ada;;
1986;SISTEM & PROSEDUR OPERASIONAL BANK SYARIAH;MUHAMMAD;UII PRESS;Yogyakarta;2005;979-8413-56-3;;;4.-;114;1E;;21;332.1;MUH;B;115.000;ada;;
1987;SISTEM HUKUM DI INDONESIA // SEBELUM PERANG DUNIA II;Prof. Dr. R. SUPOMO, S.H.;PT. PRADNYA PARAMITA;Jakarta;1982;;;;;;6E;;;;;;;ada;;
1988;SISTEM HUKUM NASIONAL DALAM NEGARA HUKUM PANCASILA // PIDATO ILMIAH PADA PERINGATAN DIES NATALIS UNIVERSITAS INDONESIA KE-33;Prof. PADMO WAHYONO, S.H.;CV. RAJAWALI;Jakarta;1992;979-421-307-1;;1.,;2.-;;6E;;;;;;;ada;;
1989;Sistem Hukum PPAT Dalam Hukum Tanah Indonesia;Dr. B.F. Sihombing, S.H., M.H.;Kencana;Jakarta;2019;978-602-422-878-1;;;1.-;;3E;;;646,1;SIH;S;;ada;;
